state,report_date,as_of_date,self_response,nrfu,enumerated
New Mexico,2020-08-21,2020-08-20,54.7,6.8,61.5
New York,2020-08-21,2020-08-20,60,9,69
North Carolina,2020-08-21,2020-08-20,60.1,6.2,66.3
North Dakota,2020-08-21,2020-08-20,63.4,14,77.4
Ohio,2020-08-21,2020-08-20,68.3,8.8,77.1
Oklahoma,2020-08-21,2020-08-20,58.7,12.2,70.9
Oregon,2020-08-21,2020-08-20,66.9,14.2,81.2
Pennsylvania,2020-08-21,2020-08-20,67.1,10.8,77.9
Rhode Island,2020-08-21,2020-08-20,61.9,9.2,71.1
South Carolina,2020-08-21,2020-08-20,58.1,7.1,65.2
South Dakota,2020-08-21,2020-08-20,65,7.1,72.1
Tennessee,2020-08-21,2020-08-20,63.5,9.7,73.2
Texas,2020-08-21,2020-08-20,59.4,9.3,68.7
Utah,2020-08-21,2020-08-20,68.5,8.6,77.1
Vermont,2020-08-21,2020-08-20,57.8,10.8,68.6
Virginia,2020-08-21,2020-08-20,68.8,8.1,76.9
Washington,2020-08-21,2020-08-20,70.4,14.7,85.1
West Virginia,2020-08-21,2020-08-20,55.4,30.2,85.6
Wisconsin,2020-08-21,2020-08-20,70.5,10.7,81.2
Wyoming,2020-08-21,2020-08-20,58.4,9.8,68.2
Puerto Rico,2020-08-21,2020-08-20,31,27.6,58.6
U.S. Total,2020-08-22,2020-08-21,64.3,10.5,74.8
Alabama,2020-08-22,2020-08-21,61.4,6.3,67.7
Alaska,2020-08-22,2020-08-21,52,23.8,75.8
Arizona,2020-08-22,2020-08-21,60.7,5.9,66.6
Arkansas,2020-08-22,2020-08-21,58.7,14.1,72.8
California,2020-08-22,2020-08-21,66.2,12.1,78.3
Colorado,2020-08-22,2020-08-21,67.6,9.8,77.5
Connecticut,2020-08-22,2020-08-21,68.3,15.2,83.5
Delaware,2020-08-22,2020-08-21,61.7,9.6,71.3
District of Columbia,2020-08-22,2020-08-21,60.7,11.5,72.2
Florida,2020-08-22,2020-08-21,60.9,6.9,67.8
Georgia,2020-08-22,2020-08-21,59.7,6.8,66.5
Hawaii,2020-08-22,2020-08-21,61.3,20.4,81.6
Idaho,2020-08-22,2020-08-21,68.4,24.6,93.1
Illinois,2020-08-22,2020-08-21,69.2,13.6,82.8
Indiana,2020-08-22,2020-08-21,68.5,14.4,82.8
Iowa,2020-08-22,2020-08-21,69.2,3,72.2
Kansas,2020-08-22,2020-08-21,68.1,16.9,85.1
Kentucky,2020-08-22,2020-08-21,66.6,7.6,74.2
Louisiana,2020-08-22,2020-08-21,58,12,70
Maine,2020-08-22,2020-08-21,56.5,26.6,83.1
Maryland,2020-08-22,2020-08-21,68.7,12.5,81.2
Massachusetts,2020-08-22,2020-08-21,66.6,12.9,79.5
Michigan,2020-08-22,2020-08-21,69.5,5.7,75.2
Minnesota,2020-08-22,2020-08-21,73.3,8.6,81.9
Mississippi,2020-08-22,2020-08-21,58.5,8.7,67.2
Missouri,2020-08-22,2020-08-21,64.1,15.5,79.6
Montana,2020-08-22,2020-08-21,57.6,8.8,66.4
Nebraska,2020-08-22,2020-08-21,69.8,8.1,77.9
Nevada,2020-08-22,2020-08-21,63.3,6.6,70
New Hampshire,2020-08-22,2020-08-21,64.1,7.9,72
New Jersey,2020-08-22,2020-08-21,66.1,7.9,74
New Mexico,2020-08-22,2020-08-21,54.8,7.7,62.5
New York,2020-08-22,2020-08-21,60.1,10,70.1
North Carolina,2020-08-22,2020-08-21,60.1,7,67.1
North Dakota,2020-08-22,2020-08-21,63.5,14.7,78.2
Ohio,2020-08-22,2020-08-21,68.4,9.6,78
Oklahoma,2020-08-22,2020-08-21,58.7,13.1,71.9
Oregon,2020-08-22,2020-08-21,67,15.2,82.3
Pennsylvania,2020-08-22,2020-08-21,67.1,11.6,78.7
Rhode Island,2020-08-22,2020-08-21,62,10.2,72.3
South Carolina,2020-08-22,2020-08-21,58.1,7.9,66.1
South Dakota,2020-08-22,2020-08-21,65,8,73
Tennessee,2020-08-22,2020-08-21,63.5,10.7,74.3
Texas,2020-08-22,2020-08-21,59.5,10.3,69.8
Utah,2020-08-22,2020-08-21,68.6,9.5,78.1
Vermont,2020-08-22,2020-08-21,57.9,12,69.9
Virginia,2020-08-22,2020-08-21,68.9,8.8,77.7
Washington,2020-08-22,2020-08-21,70.5,15.4,85.9
West Virginia,2020-08-22,2020-08-21,55.4,31.1,86.5
Wisconsin,2020-08-22,2020-08-21,70.6,11.7,82.3
Wyoming,2020-08-22,2020-08-21,58.5,11,69.5
Puerto Rico,2020-08-22,2020-08-21,31.3,29.2,60.4
U.S. Total,2020-08-23,2020-08-22,64.3,11.3,75.6
Alabama,2020-08-23,2020-08-22,61.5,6.9,68.4
Alaska,2020-08-23,2020-08-22,52.1,25.2,77.3
Arizona,2020-08-23,2020-08-22,60.8,6.6,67.4
Arkansas,2020-08-23,2020-08-22,58.8,15.4,74.2
California,2020-08-23,2020-08-22,66.3,12.9,79.2
Colorado,2020-08-23,2020-08-22,67.7,10.5,78.2
Connecticut,2020-08-23,2020-08-22,68.4,16,84.4
Delaware,2020-08-23,2020-08-22,61.8,10.4,72.2
District of Columbia,2020-08-23,2020-08-22,60.8,12.4,73.1
Florida,2020-08-23,2020-08-22,61,7.6,68.6
Georgia,2020-08-23,2020-08-22,59.7,7.5,67.3
Hawaii,2020-08-23,2020-08-22,61.3,21.4,82.7
Idaho,2020-08-23,2020-08-22,68.5,25.1,93.5
Illinois,2020-08-23,2020-08-22,69.2,14.2,83.4
Indiana,2020-08-23,2020-08-22,68.5,15.2,83.7
Iowa,2020-08-23,2020-08-22,69.3,3.6,72.9
Kansas,2020-08-23,2020-08-22,68.2,17.6,85.8
Kentucky,2020-08-23,2020-08-22,66.7,8.3,75
Louisiana,2020-08-23,2020-08-22,58,12.7,70.7
Maine,2020-08-23,2020-08-22,56.6,27.3,83.9
Maryland,2020-08-23,2020-08-22,68.7,13.2,81.9
Massachusetts,2020-08-23,2020-08-22,66.7,13.6,80.3
Michigan,2020-08-23,2020-08-22,69.5,6.4,76
Minnesota,2020-08-23,2020-08-22,73.4,9.2,82.6
Mississippi,2020-08-23,2020-08-22,58.6,9.6,68.1
Missouri,2020-08-23,2020-08-22,64.1,16.3,80.4
Montana,2020-08-23,2020-08-22,57.7,9.5,67.2
Nebraska,2020-08-23,2020-08-22,69.8,8.8,78.7
Nevada,2020-08-23,2020-08-22,63.4,7.4,70.7
New Hampshire,2020-08-23,2020-08-22,64.2,8.9,73.1
New Jersey,2020-08-23,2020-08-22,66.2,8.7,74.9
New Mexico,2020-08-23,2020-08-22,54.9,8.6,63.5
New York,2020-08-23,2020-08-22,60.2,10.9,71.1
North Carolina,2020-08-23,2020-08-22,60.2,7.8,67.9
North Dakota,2020-08-23,2020-08-22,63.5,15.3,78.8
Ohio,2020-08-23,2020-08-22,68.4,10.4,78.9
Oklahoma,2020-08-23,2020-08-22,58.8,13.9,72.7
Oregon,2020-08-23,2020-08-22,67.1,16.1,83.2
Pennsylvania,2020-08-23,2020-08-22,67.2,12.3,79.5
Rhode Island,2020-08-23,2020-08-22,62.1,11.5,73.6
South Carolina,2020-08-23,2020-08-22,58.2,8.8,67
South Dakota,2020-08-23,2020-08-22,65.1,8.8,73.8
Tennessee,2020-08-23,2020-08-22,63.6,11.7,75.3
Texas,2020-08-23,2020-08-22,59.6,11.3,70.8
Utah,2020-08-23,2020-08-22,68.7,10.3,78.9
Vermont,2020-08-23,2020-08-22,58,13.5,71.5
Virginia,2020-08-23,2020-08-22,68.9,9.5,78.4
Washington,2020-08-23,2020-08-22,70.6,16.1,86.7
West Virginia,2020-08-23,2020-08-22,55.4,31.8,87.2
Wisconsin,2020-08-23,2020-08-22,70.6,12.6,83.2
Wyoming,2020-08-23,2020-08-22,58.6,12,70.6
Puerto Rico,2020-08-23,2020-08-22,31.3,29.2,60.5
U.S. Total,2020-08-24,2020-08-23,64.4,12.1,76.5
Alabama,2020-08-24,2020-08-23,61.5,7.6,69.1
Alaska,2020-08-24,2020-08-23,52.2,26.6,78.8
Arizona,2020-08-24,2020-08-23,60.8,7.2,68.1
Arkansas,2020-08-24,2020-08-23,58.8,16.5,75.4
California,2020-08-24,2020-08-23,66.4,13.8,80.2
Colorado,2020-08-24,2020-08-23,67.8,11.2,79
Connecticut,2020-08-24,2020-08-23,68.5,16.9,85.4
Delaware,2020-08-24,2020-08-23,61.9,11.2,73.1
District of Columbia,2020-08-24,2020-08-23,60.8,13,73.8
Florida,2020-08-24,2020-08-23,61.1,8.3,69.4
Georgia,2020-08-24,2020-08-23,59.8,8.1,67.9
Hawaii,2020-08-24,2020-08-23,61.4,22.4,83.8
Idaho,2020-08-24,2020-08-23,68.5,25.5,93.9
Illinois,2020-08-24,2020-08-23,69.3,14.8,84.1
Indiana,2020-08-24,2020-08-23,68.6,15.9,84.5
Iowa,2020-08-24,2020-08-23,69.3,4.3,73.6
Kansas,2020-08-24,2020-08-23,68.2,18.3,86.5
Kentucky,2020-08-24,2020-08-23,66.7,8.9,75.6
Louisiana,2020-08-24,2020-08-23,58.1,13.3,71.4
Maine,2020-08-24,2020-08-23,56.6,28.2,84.8
Maryland,2020-08-24,2020-08-23,68.8,13.8,82.6
Massachusetts,2020-08-24,2020-08-23,66.7,14.4,81.1
Michigan,2020-08-24,2020-08-23,69.6,7.1,76.7
Minnesota,2020-08-24,2020-08-23,73.4,9.8,83.3
Mississippi,2020-08-24,2020-08-23,58.6,10.3,68.9
Missouri,2020-08-24,2020-08-23,64.2,17,81.2
Montana,2020-08-24,2020-08-23,57.7,10.2,67.9
Nebraska,2020-08-24,2020-08-23,69.9,9.5,79.4
Nevada,2020-08-24,2020-08-23,63.5,8.1,71.6
New Hampshire,2020-08-24,2020-08-23,64.3,9.9,74.2
New Jersey,2020-08-24,2020-08-23,66.3,9.5,75.8
New Mexico,2020-08-24,2020-08-23,54.9,9.6,64.5
New York,2020-08-24,2020-08-23,60.3,12,72.3
North Carolina,2020-08-24,2020-08-23,60.2,8.5,68.7
North Dakota,2020-08-24,2020-08-23,63.5,16,79.5
Ohio,2020-08-24,2020-08-23,68.5,11.2,79.7
Oklahoma,2020-08-24,2020-08-23,58.8,14.7,73.5
Oregon,2020-08-24,2020-08-23,67.2,17,84.2
Pennsylvania,2020-08-24,2020-08-23,67.2,13,80.2
Rhode Island,2020-08-24,2020-08-23,62.2,12.8,75
South Carolina,2020-08-24,2020-08-23,58.2,9.5,67.7
South Dakota,2020-08-24,2020-08-23,65.1,9.6,74.7
Tennessee,2020-08-24,2020-08-23,63.7,12.6,76.2
Texas,2020-08-24,2020-08-23,59.6,12.1,71.8
Utah,2020-08-24,2020-08-23,68.7,10.8,79.5
Vermont,2020-08-24,2020-08-23,58.1,15.1,73.1
Virginia,2020-08-24,2020-08-23,69,10.1,79.1
Washington,2020-08-24,2020-08-23,70.7,16.7,87.4
West Virginia,2020-08-24,2020-08-23,55.4,32.6,88.1
Wisconsin,2020-08-24,2020-08-23,70.7,13.5,84.2
Wyoming,2020-08-24,2020-08-23,58.7,12.9,71.6
Puerto Rico,2020-08-24,2020-08-23,31.4,30.7,62.1
U.S. Total,2020-08-25,2020-08-24,64.5,12.9,77.4
Alabama,2020-08-25,2020-08-24,61.5,8.2,69.8
Alaska,2020-08-25,2020-08-24,52.4,27.7,80.1
Arizona,2020-08-25,2020-08-24,60.9,7.9,68.8
Arkansas,2020-08-25,2020-08-24,58.9,17.8,76.7
California,2020-08-25,2020-08-24,66.5,14.6,81.2
Colorado,2020-08-25,2020-08-24,67.9,11.9,79.8
Connecticut,2020-08-25,2020-08-24,68.6,17.6,86.2
Delaware,2020-08-25,2020-08-24,62,12.2,74.1
District of Columbia,2020-08-25,2020-08-24,60.9,14,74.9
