state,report_date,as_of_date,self_response,nrfu,enumerated
Utah,2020-09-04,2020-09-03,69.7,19.3,89.1
Vermont,2020-09-04,2020-09-03,59.2,27.9,87.1
Virginia,2020-09-04,2020-09-03,69.8,17.2,87
Washington,2020-09-04,2020-09-03,71.4,22.9,94.3
West Virginia,2020-09-04,2020-09-03,55.7,40.3,96
Wisconsin,2020-09-04,2020-09-03,71.4,21.8,93.2
Wyoming,2020-09-04,2020-09-03,59.6,23.4,83
Puerto Rico,2020-09-04,2020-09-03,32.8,47.9,80.7
U.S. Total,2020-09-05,2020-09-04,65.3,21.1,86.4
Alabama,2020-09-05,2020-09-04,62,15.3,77.3
Alaska,2020-09-05,2020-09-04,53.2,35.6,88.8
Arizona,2020-09-05,2020-09-04,61.9,16.1,78
Arkansas,2020-09-05,2020-09-04,59.6,29.7,89.3
California,2020-09-05,2020-09-04,67.7,22.4,90.1
Colorado,2020-09-05,2020-09-04,68.7,18.8,87.5
Connecticut,2020-09-05,2020-09-04,69.4,23.8,93.2
Delaware,2020-09-05,2020-09-04,63,20.9,83.9
District of Columbia,2020-09-05,2020-09-04,61.8,22.6,84.4
Florida,2020-09-05,2020-09-04,62,18.4,80.3
Georgia,2020-09-05,2020-09-04,60.6,16.8,77.4
Hawaii,2020-09-05,2020-09-04,61.9,31.9,93.8
Idaho,2020-09-05,2020-09-04,68.8,29.2,97.9
Illinois,2020-09-05,2020-09-04,69.9,21.1,91
Indiana,2020-09-05,2020-09-04,69.3,24.2,93.5
Iowa,2020-09-05,2020-09-04,70.1,13.6,83.7
Kansas,2020-09-05,2020-09-04,68.9,25.3,94.2
Kentucky,2020-09-05,2020-09-04,67.3,17.3,84.6
Louisiana,2020-09-05,2020-09-04,58.5,20.3,78.8
Maine,2020-09-05,2020-09-04,57.4,36.5,93.9
Maryland,2020-09-05,2020-09-04,69.6,20.1,89.8
Massachusetts,2020-09-05,2020-09-04,67.8,22.3,90
Michigan,2020-09-05,2020-09-04,70.3,16.4,86.7
Minnesota,2020-09-05,2020-09-04,74.2,17.5,91.6
Mississippi,2020-09-05,2020-09-04,59.1,19.1,78.2
Missouri,2020-09-05,2020-09-04,64.9,25.9,90.8
Montana,2020-09-05,2020-09-04,58.6,19.7,78.3
Nebraska,2020-09-05,2020-09-04,70.8,17.7,88.5
Nevada,2020-09-05,2020-09-04,64.8,20.3,85.1
New Hampshire,2020-09-05,2020-09-04,65.6,21.6,87.1
New Jersey,2020-09-05,2020-09-04,67.5,18.5,86
New Mexico,2020-09-05,2020-09-04,56.2,21.8,77.9
New York,2020-09-05,2020-09-04,61.7,23.2,84.9
North Carolina,2020-09-05,2020-09-04,61.2,18.9,80.1
North Dakota,2020-09-05,2020-09-04,64.2,23.6,87.8
Ohio,2020-09-05,2020-09-04,69.4,19.9,89.3
Oklahoma,2020-09-05,2020-09-04,59.6,23.6,83.2
Oregon,2020-09-05,2020-09-04,68.1,25.7,93.9
Pennsylvania,2020-09-05,2020-09-04,68.1,21.2,89.3
Rhode Island,2020-09-05,2020-09-04,63.5,24,87.4
South Carolina,2020-09-05,2020-09-04,59.2,19.6,78.8
South Dakota,2020-09-05,2020-09-04,66,19.1,85
Tennessee,2020-09-05,2020-09-04,64.7,22.8,87.4
Texas,2020-09-05,2020-09-04,60.8,22.8,83.6
Utah,2020-09-05,2020-09-04,69.8,19.9,89.7
Vermont,2020-09-05,2020-09-04,59.3,28.9,88.2
Virginia,2020-09-05,2020-09-04,69.8,17.8,87.7
Washington,2020-09-05,2020-09-04,71.4,23.4,94.8
West Virginia,2020-09-05,2020-09-04,55.7,40.7,96.4
Wisconsin,2020-09-05,2020-09-04,71.4,22.4,93.8
Wyoming,2020-09-05,2020-09-04,59.7,24.2,83.9
Puerto Rico,2020-09-05,2020-09-04,33,49.4,82.4
U.S. Total,2020-09-06,2020-09-05,65.4,21.7,87.1
Alabama,2020-09-06,2020-09-05,62.1,15.9,77.9
Alaska,2020-09-06,2020-09-05,53.2,36.3,89.5
Arizona,2020-09-06,2020-09-05,62,16.8,78.7
Arkansas,2020-09-06,2020-09-05,59.7,30.5,90.2
California,2020-09-06,2020-09-05,67.8,22.9,90.6
Colorado,2020-09-06,2020-09-05,68.7,19.3,88
Connecticut,2020-09-06,2020-09-05,69.5,24.3,93.7
Delaware,2020-09-06,2020-09-05,63.1,21.5,84.6
District of Columbia,2020-09-06,2020-09-05,61.8,23.1,85
Florida,2020-09-06,2020-09-05,62,19.1,81.1
Georgia,2020-09-06,2020-09-05,60.7,17.4,78.1
Hawaii,2020-09-06,2020-09-05,61.9,32.5,94.4
Idaho,2020-09-06,2020-09-05,68.8,29.3,98.1
Illinois,2020-09-06,2020-09-05,70,21.5,91.5
Indiana,2020-09-06,2020-09-05,69.4,24.6,94
Iowa,2020-09-06,2020-09-05,70.1,14.2,84.4
Kansas,2020-09-06,2020-09-05,68.9,25.7,94.6
Kentucky,2020-09-06,2020-09-05,67.3,17.8,85.1
Louisiana,2020-09-06,2020-09-05,58.6,21,79.5
Maine,2020-09-06,2020-09-05,57.4,37,94.4
Maryland,2020-09-06,2020-09-05,69.7,20.5,90.2
Massachusetts,2020-09-06,2020-09-05,67.8,22.8,90.7
Michigan,2020-09-06,2020-09-05,70.3,17,87.3
Minnesota,2020-09-06,2020-09-05,74.2,17.9,92.1
Mississippi,2020-09-06,2020-09-05,59.1,19.8,78.9
Missouri,2020-09-06,2020-09-05,64.9,26.4,91.3
Montana,2020-09-06,2020-09-05,58.7,20.3,78.9
Nebraska,2020-09-06,2020-09-05,70.8,18.2,89
Nevada,2020-09-06,2020-09-05,64.9,21,85.9
New Hampshire,2020-09-06,2020-09-05,65.7,22.3,87.9
New Jersey,2020-09-06,2020-09-05,67.6,19.2,86.7
New Mexico,2020-09-06,2020-09-05,56.2,22.7,79
New York,2020-09-06,2020-09-05,61.8,24,85.8
North Carolina,2020-09-06,2020-09-05,61.3,19.6,80.8
North Dakota,2020-09-06,2020-09-05,64.2,24,88.2
Ohio,2020-09-06,2020-09-05,69.4,20.4,89.8
Oklahoma,2020-09-06,2020-09-05,59.7,24.3,83.9
Oregon,2020-09-06,2020-09-05,68.2,26.1,94.3
Pennsylvania,2020-09-06,2020-09-05,68.1,21.7,89.8
Rhode Island,2020-09-06,2020-09-05,63.6,24.6,88.2
South Carolina,2020-09-06,2020-09-05,59.3,20.2,79.5
South Dakota,2020-09-06,2020-09-05,66,19.7,85.7
Tennessee,2020-09-06,2020-09-05,64.7,23.4,88.1
Texas,2020-09-06,2020-09-05,60.9,23.6,84.4
Utah,2020-09-06,2020-09-05,69.9,20.5,90.3
Vermont,2020-09-06,2020-09-05,59.3,30,89.3
Virginia,2020-09-06,2020-09-05,69.9,18.4,88.3
Washington,2020-09-06,2020-09-05,71.4,23.8,95.3
West Virginia,2020-09-06,2020-09-05,55.7,41,96.7
Wisconsin,2020-09-06,2020-09-05,71.4,22.7,94.2
Wyoming,2020-09-06,2020-09-05,59.8,24.8,84.6
Puerto Rico,2020-09-06,2020-09-05,33,50.8,83.8
U.S. Total,2020-09-07,2020-09-06,65.4,22.2,87.6
Alabama,2020-09-07,2020-09-06,62.1,16.4,78.5
Alaska,2020-09-07,2020-09-06,53.2,36.9,90.1
Arizona,2020-09-07,2020-09-06,62,17.4,79.4
Arkansas,2020-09-07,2020-09-06,59.7,31.2,90.9
California,2020-09-07,2020-09-06,67.8,23.3,91.1
Colorado,2020-09-07,2020-09-06,68.8,19.8,88.6
Connecticut,2020-09-07,2020-09-06,69.5,24.6,94.1
Delaware,2020-09-07,2020-09-06,63.1,22.1,85.2
District of Columbia,2020-09-07,2020-09-06,61.9,23.5,85.4
Florida,2020-09-07,2020-09-06,62.1,19.7,81.8
Georgia,2020-09-07,2020-09-06,60.7,17.9,78.7
Hawaii,2020-09-07,2020-09-06,61.9,33.1,95
Idaho,2020-09-07,2020-09-06,68.8,29.5,98.3
Illinois,2020-09-07,2020-09-06,70,22,92
Indiana,2020-09-07,2020-09-06,69.4,25,94.4
Iowa,2020-09-07,2020-09-06,70.2,14.9,85
Kansas,2020-09-07,2020-09-06,68.9,26.1,95
Kentucky,2020-09-07,2020-09-06,67.3,18.2,85.6
Louisiana,2020-09-07,2020-09-06,58.6,21.6,80.2
Maine,2020-09-07,2020-09-06,57.4,37.3,94.7
Maryland,2020-09-07,2020-09-06,69.7,20.9,90.6
Massachusetts,2020-09-07,2020-09-06,67.9,23.3,91.1
Michigan,2020-09-07,2020-09-06,70.3,17.4,87.8
Minnesota,2020-09-07,2020-09-06,74.2,18.4,92.6
Mississippi,2020-09-07,2020-09-06,59.2,20.4,79.6
Missouri,2020-09-07,2020-09-06,64.9,26.8,91.7
Montana,2020-09-07,2020-09-06,58.7,20.8,79.4
Nebraska,2020-09-07,2020-09-06,70.9,18.7,89.5
Nevada,2020-09-07,2020-09-06,65,21.7,86.6
New Hampshire,2020-09-07,2020-09-06,65.7,23.1,88.8
New Jersey,2020-09-07,2020-09-06,67.6,19.7,87.3
New Mexico,2020-09-07,2020-09-06,56.3,23.6,79.9
New York,2020-09-07,2020-09-06,61.9,24.7,86.6
North Carolina,2020-09-07,2020-09-06,61.3,20.1,81.5
North Dakota,2020-09-07,2020-09-06,64.2,24.4,88.6
Ohio,2020-09-07,2020-09-06,69.5,20.9,90.3
Oklahoma,2020-09-07,2020-09-06,59.7,24.9,84.6
Oregon,2020-09-07,2020-09-06,68.2,26.4,94.6
Pennsylvania,2020-09-07,2020-09-06,68.1,22.1,90.3
Rhode Island,2020-09-07,2020-09-06,63.6,25.3,88.9
South Carolina,2020-09-07,2020-09-06,59.3,20.8,80.1
South Dakota,2020-09-07,2020-09-06,66,20.2,86.3
Tennessee,2020-09-07,2020-09-06,64.7,23.9,88.6
Texas,2020-09-07,2020-09-06,60.9,24.3,85.2
Utah,2020-09-07,2020-09-06,69.9,20.8,90.7
Vermont,2020-09-07,2020-09-06,59.4,31,90.4
Virginia,2020-09-07,2020-09-06,69.9,18.9,88.8
Washington,2020-09-07,2020-09-06,71.5,24.4,95.9
West Virginia,2020-09-07,2020-09-06,55.7,41.3,97.1
Wisconsin,2020-09-07,2020-09-06,71.5,23.1,94.5
Wyoming,2020-09-07,2020-09-06,59.8,25.4,85.2
Puerto Rico,2020-09-07,2020-09-06,33.1,52,85.1
U.S. Total,2020-09-08,2020-09-07,65.5,22.7,88.2
Alabama,2020-09-08,2020-09-07,62.1,16.9,79
Alaska,2020-09-08,2020-09-07,53.3,37.4,90.7
Arizona,2020-09-08,2020-09-07,62.1,18,80.1
Arkansas,2020-09-08,2020-09-07,59.7,31.8,91.5
California,2020-09-08,2020-09-07,67.9,23.7,91.5
Colorado,2020-09-08,2020-09-07,68.8,20.2,89
Connecticut,2020-09-08,2020-09-07,69.5,24.9,94.4
Delaware,2020-09-08,2020-09-07,63.2,22.6,85.8
District of Columbia,2020-09-08,2020-09-07,61.9,23.9,85.8
Florida,2020-09-08,2020-09-07,62.1,20.4,82.5
Georgia,2020-09-08,2020-09-07,60.8,18.6,79.3
Hawaii,2020-09-08,2020-09-07,61.9,33.6,95.6
Idaho,2020-09-08,2020-09-07,68.8,29.6,98.4
Illinois,2020-09-08,2020-09-07,70,22.3,92.4
Indiana,2020-09-08,2020-09-07,69.4,25.3,94.7
Iowa,2020-09-08,2020-09-07,70.2,15.4,85.6
Kansas,2020-09-08,2020-09-07,69,26.4,95.3
Kentucky,2020-09-08,2020-09-07,67.4,18.7,86.1
Louisiana,2020-09-08,2020-09-07,58.6,22.1,80.8
Maine,2020-09-08,2020-09-07,57.4,37.6,95
Maryland,2020-09-08,2020-09-07,69.7,21.1,90.9
Massachusetts,2020-09-08,2020-09-07,67.9,23.7,91.6
Michigan,2020-09-08,2020-09-07,70.4,17.8,88.2
Minnesota,2020-09-08,2020-09-07,74.3,18.7,93
Mississippi,2020-09-08,2020-09-07,59.2,20.9,80.1
Missouri,2020-09-08,2020-09-07,65,27.2,92.1
Montana,2020-09-08,2020-09-07,58.7,21.1,79.9
Nebraska,2020-09-08,2020-09-07,70.9,19.1,90
Nevada,2020-09-08,2020-09-07,65,22.2,87.2
New Hampshire,2020-09-08,2020-09-07,65.8,23.7,89.4
New Jersey,2020-09-08,2020-09-07,67.7,20.2,87.9
New Mexico,2020-09-08,2020-09-07,56.4,24.3,80.7
New York,2020-09-08,2020-09-07,61.9,25.3,87.3
North Carolina,2020-09-08,2020-09-07,61.4,20.7,82.1
North Dakota,2020-09-08,2020-09-07,64.3,24.9,89.2
Ohio,2020-09-08,2020-09-07,69.5,21.1,90.6
Oklahoma,2020-09-08,2020-09-07,59.7,25.5,85.3
Oregon,2020-09-08,2020-09-07,68.3,26.7,94.9
Pennsylvania,2020-09-08,2020-09-07,68.2,22.4,90.6
Rhode Island,2020-09-08,2020-09-07,63.7,25.8,89.4
South Carolina,2020-09-08,2020-09-07,59.4,21.3,80.7
South Dakota,2020-09-08,2020-09-07,66.1,20.6,86.7
Tennessee,2020-09-08,2020-09-07,64.8,24.3,89.1
Texas,2020-09-08,2020-09-07,61,24.9,85.9
Utah,2020-09-08,2020-09-07,69.9,21.2,91.1
Vermont,2020-09-08,2020-09-07,59.4,31.9,91.3
Virginia,2020-09-08,2020-09-07,70,19.3,89.3
Washington,2020-09-08,2020-09-07,71.5,24.7,96.2
West Virginia,2020-09-08,2020-09-07,55.8,41.6,97.3
Wisconsin,2020-09-08,2020-09-07,71.5,23.5,94.9
Wyoming,2020-09-08,2020-09-07,59.8,25.8,85.6
Puerto Rico,2020-09-08,2020-09-07,33.1,53.2,86.4
U.S. Total,2020-09-09,2020-09-08,65.5,23.3,88.8
Alabama,2020-09-09,2020-09-08,62.2,17.7,79.8
Alaska,2020-09-09,2020-09-08,53.3,37.9,91.2
Arizona,2020-09-09,2020-09-08,62.2,18.6,80.8
Arkansas,2020-09-09,2020-09-08,59.8,32.5,92.3
California,2020-09-09,2020-09-08,67.9,24.1,92.1
Colorado,2020-09-09,2020-09-08,68.8,20.5,89.4
Connecticut,2020-09-09,2020-09-08,69.6,25.2,94.7
Delaware,2020-09-09,2020-09-08,63.3,23.2,86.4
District of Columbia,2020-09-09,2020-09-08,62,24.5,86.5
Florida,2020-09-09,2020-09-08,62.2,21.1,83.3
Georgia,2020-09-09,2020-09-08,60.8,19.3,80.2
Hawaii,2020-09-09,2020-09-08,62,34.2,96.1
Idaho,2020-09-09,2020-09-08,68.8,29.7,98.5
Illinois,2020-09-09,2020-09-08,70.1,22.7,92.8
Indiana,2020-09-09,2020-09-08,69.5,25.7,95.1
Iowa,2020-09-09,2020-09-08,70.3,15.9,86.2
Kansas,2020-09-09,2020-09-08,69,26.6,95.6
Kentucky,2020-09-09,2020-09-08,67.4,19.2,86.7
Louisiana,2020-09-09,2020-09-08,58.7,22.6,81.3
Maine,2020-09-09,2020-09-08,57.5,38,95.4
Maryland,2020-09-09,2020-09-08,69.8,21.5,91.3
Massachusetts,2020-09-09,2020-09-08,68,24.1,92
Michigan,2020-09-09,2020-09-08,70.4,18.4,88.7
Minnesota,2020-09-09,2020-09-08,74.3,19.3,93.6
Mississippi,2020-09-09,2020-09-08,59.2,21.5,80.7
Missouri,2020-09-09,2020-09-08,65,27.7,92.7
Montana,2020-09-09,2020-09-08,58.8,21.9,80.7
Nebraska,2020-09-09,2020-09-08,70.9,19.5,90.4
Nevada,2020-09-09,2020-09-08,65.1,22.7,87.8
New Hampshire,2020-09-09,2020-09-08,65.8,24.4,90.2
New Jersey,2020-09-09,2020-09-08,67.8,20.8,88.5
New Mexico,2020-09-09,2020-09-08,56.4,25.1,81.5
New York,2020-09-09,2020-09-08,62,26,88
North Carolina,2020-09-09,2020-09-08,61.5,21.5,82.9
North Dakota,2020-09-09,2020-09-08,64.3,25.4,89.7
Ohio,2020-09-09,2020-09-08,69.6,21.6,91.2
Oklahoma,2020-09-09,2020-09-08,59.8,26.2,85.9
Oregon,2020-09-09,2020-09-08,68.3,27,95.2
Pennsylvania,2020-09-09,2020-09-08,68.2,22.9,91.2
Rhode Island,2020-09-09,2020-09-08,63.7,26.3,90
South Carolina,2020-09-09,2020-09-08,59.4,22.1,81.5
South Dakota,2020-09-09,2020-09-08,66.1,21.2,87.4
Tennessee,2020-09-09,2020-09-08,64.8,24.9,89.7
Texas,2020-09-09,2020-09-08,61.1,25.7,86.8
Utah,2020-09-09,2020-09-08,70,21.7,91.7
Vermont,2020-09-09,2020-09-08,59.5,32.7,92.2
Virginia,2020-09-09,2020-09-08,70,19.8,89.8
Washington,2020-09-09,2020-09-08,71.5,25,96.5
West Virginia,2020-09-09,2020-09-08,55.8,41.9,97.7
Wisconsin,2020-09-09,2020-09-08,71.5,23.8,95.3
Wyoming,2020-09-09,2020-09-08,59.9,26.1,86
Puerto Rico,2020-09-09,2020-09-08,33.8,53.9,87.6
U.S. Total,2020-09-10,2020-09-09,65.6,23.8,89.4
Alabama,2020-09-10,2020-09-09,62.2,18.4,80.6
Alaska,2020-09-10,2020-09-09,53.4,38.5,91.8
Arizona,2020-09-10,2020-09-09,62.3,19.5,81.7
Arkansas,2020-09-10,2020-09-09,59.8,33.1,93
California,2020-09-10,2020-09-09,68,24.6,92.6
Colorado,2020-09-10,2020-09-09,68.9,20.8,89.7
Connecticut,2020-09-10,2020-09-09,69.6,25.5,95.1
Delaware,2020-09-10,2020-09-09,63.4,23.8,87.2
District of Columbia,2020-09-10,2020-09-09,62.1,25.2,87.3
Florida,2020-09-10,2020-09-09,62.3,21.9,84.2
Georgia,2020-09-10,2020-09-09,61,20.1,81.1
Hawaii,2020-09-10,2020-09-09,62,34.6,96.6
Idaho,2020-09-10,2020-09-09,68.8,29.9,98.7
Illinois,2020-09-10,2020-09-09,70.1,23.1,93.2
Indiana,2020-09-10,2020-09-09,69.5,26,95.5
Iowa,2020-09-10,2020-09-09,70.3,16.4,86.7
Kansas,2020-09-10,2020-09-09,69,26.9,95.9
Kentucky,2020-09-10,2020-09-09,67.5,19.8,87.3
Louisiana,2020-09-10,2020-09-09,58.8,23.1,81.9
Maine,2020-09-10,2020-09-09,57.5,38.3,95.8
Maryland,2020-09-10,2020-09-09,69.8,22,91.9
Massachusetts,2020-09-10,2020-09-09,68.1,24.5,92.5
Michigan,2020-09-10,2020-09-09,70.4,19,89.5
Minnesota,2020-09-10,2020-09-09,74.4,19.7,94
Mississippi,2020-09-10,2020-09-09,59.3,22.1,81.4
Missouri,2020-09-10,2020-09-09,65,28.1,93.1
Montana,2020-09-10,2020-09-09,58.9,22.7,81.5
Nebraska,2020-09-10,2020-09-09,71,19.9,90.9
Nevada,2020-09-10,2020-09-09,65.2,23.4,88.6
New Hampshire,2020-09-10,2020-09-09,65.9,25.3,91.3
New Jersey,2020-09-10,2020-09-09,67.9,21.4,89.2
New Mexico,2020-09-10,2020-09-09,56.5,26.3,82.8
New York,2020-09-10,2020-09-09,62.2,26.6,88.8
North Carolina,2020-09-10,2020-09-09,61.6,22.2,83.8
North Dakota,2020-09-10,2020-09-09,64.4,25.9,90.2
Ohio,2020-09-10,2020-09-09,69.6,22.2,91.8
Oklahoma,2020-09-10,2020-09-09,59.9,26.7,86.5
Oregon,2020-09-10,2020-09-09,68.3,27.2,95.6
Pennsylvania,2020-09-10,2020-09-09,68.3,23.4,91.7
Rhode Island,2020-09-10,2020-09-09,63.8,26.9,90.7
South Carolina,2020-09-10,2020-09-09,59.5,22.8,82.4
South Dakota,2020-09-10,2020-09-09,66.2,21.8,88.1
Tennessee,2020-09-10,2020-09-09,64.9,25.6,90.5
Texas,2020-09-10,2020-09-09,61.2,26.4,87.5
Utah,2020-09-10,2020-09-09,70.1,22.2,92.2
Vermont,2020-09-10,2020-09-09,59.5,33.5,93.1
Virginia,2020-09-10,2020-09-09,70.1,20.3,90.4
Washington,2020-09-10,2020-09-09,71.6,25.3,96.8
West Virginia,2020-09-10,2020-09-09,55.8,42.3,98.1
Wisconsin,2020-09-10,2020-09-09,71.5,24.1,95.6
Wyoming,2020-09-10,2020-09-09,60,26.7,86.6
Puerto Rico,2020-09-10,2020-09-09,33.8,54.8,88.6
U.S. Total,2020-09-11,2020-09-10,65.7,24.4,90.1
Alabama,2020-09-11,2020-09-10,62.3,19.1,81.5
Alaska,2020-09-11,2020-09-10,53.4,39.1,92.5
Arizona,2020-09-11,2020-09-10,62.4,20.4,82.8
Arkansas,2020-09-11,2020-09-10,59.9,33.8,93.7
California,2020-09-11,2020-09-10,68.1,25.1,93.1
Colorado,2020-09-11,2020-09-10,69,21.4,90.3
Connecticut,2020-09-11,2020-09-10,69.7,25.8,95.4
Delaware,2020-09-11,2020-09-10,63.5,24.5,88
District of Columbia,2020-09-11,2020-09-10,62.2,25.9,88
Florida,2020-09-11,2020-09-10,62.4,22.7,85.1
Georgia,2020-09-11,2020-09-10,61.1,21,82.1
Hawaii,2020-09-11,2020-09-10,62.1,35.1,97.2
Idaho,2020-09-11,2020-09-10,68.9,30,98.9
Illinois,2020-09-11,2020-09-10,70.2,23.5,93.7
Indiana,2020-09-11,2020-09-10,69.6,26.4,96
Iowa,2020-09-11,2020-09-10,70.4,17.1,87.5
Kansas,2020-09-11,2020-09-10,69.1,27.2,96.2
Kentucky,2020-09-11,2020-09-10,67.5,20.4,87.9
Louisiana,2020-09-11,2020-09-10,58.9,23.8,82.7
Maine,2020-09-11,2020-09-10,57.6,38.8,96.3
Maryland,2020-09-11,2020-09-10,69.9,22.3,92.2
Massachusetts,2020-09-11,2020-09-10,68.1,24.9,93
Michigan,2020-09-11,2020-09-10,70.5,19.7,90.2
Minnesota,2020-09-11,2020-09-10,74.4,20.2,94.6
Mississippi,2020-09-11,2020-09-10,59.3,22.9,82.3
Missouri,2020-09-11,2020-09-10,65.1,28.6,93.7
Montana,2020-09-11,2020-09-10,58.9,23.4,82.3
Nebraska,2020-09-11,2020-09-10,71,20.5,91.6
Nevada,2020-09-11,2020-09-10,65.3,24,89.3
New Hampshire,2020-09-11,2020-09-10,66,26.1,92.1
New Jersey,2020-09-11,2020-09-10,68,21.9,89.9
New Mexico,2020-09-11,2020-09-10,56.6,27.1,83.7
New York,2020-09-11,2020-09-10,62.3,27.3,89.6
North Carolina,2020-09-11,2020-09-10,61.7,23.1,84.8
North Dakota,2020-09-11,2020-09-10,64.4,26.4,90.8
Ohio,2020-09-11,2020-09-10,69.7,22.7,92.4
Oklahoma,2020-09-11,2020-09-10,59.9,27.4,87.3
Oregon,2020-09-11,2020-09-10,68.4,27.5,95.9
Pennsylvania,2020-09-11,2020-09-10,68.4,23.9,92.3
Rhode Island,2020-09-11,2020-09-10,63.9,27.5,91.4
South Carolina,2020-09-11,2020-09-10,59.6,23.6,83.2
South Dakota,2020-09-11,2020-09-10,66.3,22.5,88.8
Tennessee,2020-09-11,2020-09-10,65,26.1,91.1
Texas,2020-09-11,2020-09-10,61.3,27.2,88.5
Utah,2020-09-11,2020-09-10,70.1,22.8,92.9
Vermont,2020-09-11,2020-09-10,59.6,34.3,93.9
Virginia,2020-09-11,2020-09-10,70.2,20.8,91
Washington,2020-09-11,2020-09-10,71.6,25.5,97.2
West Virginia,2020-09-11,2020-09-10,55.8,42.6,98.4
Wisconsin,2020-09-11,2020-09-10,71.6,24.4,96
Wyoming,2020-09-11,2020-09-10,60,27.4,87.5
Puerto Rico,2020-09-11,2020-09-10,33.9,56,89.9
U.S. Total,2020-09-12,2020-09-11,65.7,25,90.8
Alabama,2020-09-12,2020-09-11,62.4,19.9,82.3
Alaska,2020-09-12,2020-09-11,53.5,39.7,93.1
Arizona,2020-09-12,2020-09-11,62.5,21.4,83.9
Arkansas,2020-09-12,2020-09-11,59.9,34.4,94.3
California,2020-09-12,2020-09-11,68.2,25.5,93.7
Colorado,2020-09-12,2020-09-11,69,21.9,90.9
Connecticut,2020-09-12,2020-09-11,69.7,26.1,95.8
Delaware,2020-09-12,2020-09-11,63.6,25.2,88.8
District of Columbia,2020-09-12,2020-09-11,62.2,26.5,88.8
Florida,2020-09-12,2020-09-11,62.5,23.5,86
Georgia,2020-09-12,2020-09-11,61.1,21.9,83.1
Hawaii,2020-09-12,2020-09-11,62.2,35.4,97.6
Idaho,2020-09-12,2020-09-11,68.9,30.2,99.1
Illinois,2020-09-12,2020-09-11,70.2,23.9,94.1
Indiana,2020-09-12,2020-09-11,69.6,26.8,96.4
Iowa,2020-09-12,2020-09-11,70.4,17.7,88.1
Kansas,2020-09-12,2020-09-11,69.1,27.5,96.5
Kentucky,2020-09-12,2020-09-11,67.5,21,88.5
Louisiana,2020-09-12,2020-09-11,58.9,24.5,83.5
Maine,2020-09-12,2020-09-11,57.6,39.1,96.7
Maryland,2020-09-12,2020-09-11,70,22.9,92.8
Massachusetts,2020-09-12,2020-09-11,68.2,25.3,93.5
Michigan,2020-09-12,2020-09-11,70.5,20.4,90.9
Minnesota,2020-09-12,2020-09-11,74.4,20.6,95
Mississippi,2020-09-12,2020-09-11,59.4,23.7,83.1
Missouri,2020-09-12,2020-09-11,65.1,29,94.1
Montana,2020-09-12,2020-09-11,59,24.2,83.2
Nebraska,2020-09-12,2020-09-11,71.1,21.1,92.1
Nevada,2020-09-12,2020-09-11,65.3,24.7,90
New Hampshire,2020-09-12,2020-09-11,66,26.8,92.9
New Jersey,2020-09-12,2020-09-11,68,22.6,90.7
New Mexico,2020-09-12,2020-09-11,56.7,27.9,84.6
New York,2020-09-12,2020-09-11,62.4,28.1,90.5
North Carolina,2020-09-12,2020-09-11,61.7,23.9,85.6
North Dakota,2020-09-12,2020-09-11,64.5,27.1,91.6
Ohio,2020-09-12,2020-09-11,69.8,23.3,93
Oklahoma,2020-09-12,2020-09-11,60,28.1,88.1
Oregon,2020-09-12,2020-09-11,68.4,27.7,96.1
Pennsylvania,2020-09-12,2020-09-11,68.4,24.4,92.8
Rhode Island,2020-09-12,2020-09-11,64,28.2,92.1
South Carolina,2020-09-12,2020-09-11,59.7,24.3,84
South Dakota,2020-09-12,2020-09-11,66.3,23.1,89.5
Tennessee,2020-09-12,2020-09-11,65,26.7,91.7
Texas,2020-09-12,2020-09-11,61.3,28,89.3
Utah,2020-09-12,2020-09-11,70.2,23.3,93.5
Vermont,2020-09-12,2020-09-11,59.7,34.8,94.5
Virginia,2020-09-12,2020-09-11,70.2,21.4,91.6
Washington,2020-09-12,2020-09-11,71.6,25.8,97.4
West Virginia,2020-09-12,2020-09-11,55.9,42.8,98.7
Wisconsin,2020-09-12,2020-09-11,71.6,24.7,96.3
Wyoming,2020-09-12,2020-09-11,60.1,28.1,88.2
Puerto Rico,2020-09-12,2020-09-11,33.9,56.9,90.8
U.S. Total,2020-09-13,2020-09-12,65.8,25.5,91.3
Alabama,2020-09-13,2020-09-12,62.4,20.6,83
Alaska,2020-09-13,2020-09-12,53.5,40.1,93.6
Arizona,2020-09-13,2020-09-12,62.5,22.4,84.9
Arkansas,2020-09-13,2020-09-12,59.9,34.8,94.8
California,2020-09-13,2020-09-12,68.2,25.8,94
Colorado,2020-09-13,2020-09-12,69,22.3,91.3
Connecticut,2020-09-13,2020-09-12,69.7,26.4,96.2
Delaware,2020-09-13,2020-09-12,63.6,26,89.6
District of Columbia,2020-09-13,2020-09-12,62.3,27.1,89.4
Florida,2020-09-13,2020-09-12,62.5,24.2,86.7
Georgia,2020-09-13,2020-09-12,61.2,22.8,83.9
Hawaii,2020-09-13,2020-09-12,62.3,35.6,97.8
Idaho,2020-09-13,2020-09-12,68.9,30.3,99.2
Illinois,2020-09-13,2020-09-12,70.3,24,94.3
Indiana,2020-09-13,2020-09-12,69.6,27,96.6
Iowa,2020-09-13,2020-09-12,70.5,18.3,88.7
Kansas,2020-09-13,2020-09-12,69.1,27.7,96.8
Kentucky,2020-09-13,2020-09-12,67.6,21.5,89
