state,as_of_date,enumerated,type,finished
Rhode Island,2020-09-26,98.00896038818775,forecast,2020-10-04
South Carolina,2020-09-26,93.94857606040175,forecast,2020-10-17
South Dakota,2020-09-26,96.68049372634668,forecast,2020-10-10
Tennessee,2020-09-26,97.80778657678951,forecast,2020-10-05
Texas,2020-09-26,97.34408090686462,forecast,2020-10-07
Utah,2020-09-26,98.4172897722729,forecast,2020-10-01
Vermont,2020-09-26,99.05400638261784,forecast,2020-09-26
Virginia,2020-09-26,97.49088815908641,forecast,2020-10-06
Washington,2020-09-26,99.18613379870955,forecast,2020-09-24
West Virginia,2020-09-26,99.9087304795727,forecast,2020-09-12
Wisconsin,2020-09-26,99.0935794611486,forecast,2020-09-25
Wyoming,2020-09-26,96.23641351219904,forecast,2020-10-11
Puerto Rico,2020-09-26,98.67470046417547,forecast,2020-09-30
U.S. Total,2020-09-27,97.56778396516606,forecast,2020-10-07
Alabama,2020-09-27,93.19744385587535,forecast,2020-10-19
Alaska,2020-09-27,98.36926413941451,forecast,2020-10-03
Arizona,2020-09-27,95.5152944985813,forecast,2020-10-14
Arkansas,2020-09-27,99.00413941214634,forecast,2020-09-27
California,2020-09-27,98.46127951841179,forecast,2020-10-02
Colorado,2020-09-27,97.41712269383544,forecast,2020-10-08
Connecticut,2020-09-27,99.0850362131094,forecast,2020-09-27
Delaware,2020-09-27,96.86999196934286,forecast,2020-10-10
District of Columbia,2020-09-27,96.86663650273607,forecast,2020-10-10
Florida,2020-09-27,95.85301398732805,forecast,2020-10-13
Georgia,2020-09-27,94.56279275649763,forecast,2020-10-16
Hawaii,2020-09-27,99.65851769870413,forecast,2020-09-17
Idaho,2020-09-27,99.91257774159469,forecast,2020-09-11
Illinois,2020-09-27,98.4573019651047,forecast,2020-10-02
Indiana,2020-09-27,99.2624704388174,forecast,2020-09-24
Iowa,2020-09-27,96.7177303548376,forecast,2020-10-10
Kansas,2020-09-27,99.21821067026893,forecast,2020-09-25
Kentucky,2020-09-27,96.4476260480368,forecast,2020-10-11
Louisiana,2020-09-27,94.1182621438045,forecast,2020-10-17
Maine,2020-09-27,99.3508130198691,forecast,2020-09-23
Maryland,2020-09-27,98.23028013194123,forecast,2020-10-04
Massachusetts,2020-09-27,98.31913108500599,forecast,2020-10-03
Michigan,2020-09-27,97.7650883845953,forecast,2020-10-06
Minnesota,2020-09-27,98.91053374654227,forecast,2020-09-28
Mississippi,2020-09-27,94.37356374696103,forecast,2020-10-17
Missouri,2020-09-27,98.54880828619908,forecast,2020-10-02
Montana,2020-09-27,94.05432378604658,forecast,2020-10-17
Nebraska,2020-09-27,98.14080110020113,forecast,2020-10-04
Nevada,2020-09-27,97.5189444198886,forecast,2020-10-07
New Hampshire,2020-09-27,98.46523616583644,forecast,2020-10-02
New Jersey,2020-09-27,97.86091627540905,forecast,2020-10-06
New Mexico,2020-09-27,95.22429375857871,forecast,2020-10-15
New York,2020-09-27,97.80937033962918,forecast,2020-10-06
North Carolina,2020-09-27,95.45487915708283,forecast,2020-10-14
North Dakota,2020-09-27,98.23802609214255,forecast,2020-10-04
Ohio,2020-09-27,98.36926413941451,forecast,2020-10-03
Oklahoma,2020-09-27,96.66542976359949,forecast,2020-10-11
Oregon,2020-09-27,98.72640813197593,forecast,2020-09-30
Pennsylvania,2020-09-27,98.18368334549416,forecast,2020-10-04
Rhode Island,2020-09-27,98.18368334549416,forecast,2020-10-04
South Carolina,2020-09-27,94.43374579771996,forecast,2020-10-17
South Dakota,2020-09-27,96.96578133327127,forecast,2020-10-10
Tennessee,2020-09-27,97.99967667264308,forecast,2020-10-05
Texas,2020-09-27,97.57500625531083,forecast,2020-10-07
Utah,2020-09-27,98.55679567034353,forecast,2020-10-01
Vermont,2020-09-27,99.13780148920934,forecast,2020-09-26
Virginia,2020-09-27,97.70954096205347,forecast,2020-10-06
Washington,2020-09-27,99.25827679192348,forecast,2020-09-24
West Virginia,2020-09-27,99.91683716300115,forecast,2020-09-12
Wisconsin,2020-09-27,99.17388732792715,forecast,2020-09-25
Wyoming,2020-09-27,96.5569562576063,forecast,2020-10-11
Puerto Rico,2020-09-27,98.79178437149191,forecast,2020-09-30
U.S. Total,2020-09-28,97.77997596375903,forecast,2020-10-07
Alabama,2020-09-28,93.72986431278028,forecast,2020-10-19
Alaska,2020-09-28,98.51293570324027,forecast,2020-10-03
Arizona,2020-09-28,95.89093633355685,forecast,2020-10-14
Arkansas,2020-09-28,99.09232543161845,forecast,2020-09-27
California,2020-09-28,98.59696473345447,forecast,2020-10-02
Colorado,2020-09-28,97.64195239267295,forecast,2020-10-08
Connecticut,2020-09-28,99.16609712269629,forecast,2020-09-27
Delaware,2020-09-28,97.13995143449321,forecast,2020-10-10
District of Columbia,2020-09-28,97.13686879936611,forecast,2020-10-10
Florida,2020-09-28,96.20319649643346,forecast,2020-10-13
Georgia,2020-09-28,95.00675908485378,forecast,2020-10-16
Hawaii,2020-09-28,99.68883847560846,forecast,2020-09-17
Idaho,2020-09-28,99.9203427224342,forecast,2020-09-11
Illinois,2020-09-28,98.59333284278878,forecast,2020-10-02
Indiana,2020-09-28,99.32787062526386,forecast,2020-09-24
Iowa,2020-09-28,97.00001894381143,forecast,2020-10-10
Kansas,2020-09-28,99.28752121818975,forecast,2020-09-25
Kentucky,2020-09-28,96.75152039908001,forecast,2020-10-11
Louisiana,2020-09-28,94.59227792337799,forecast,2020-10-17
Maine,2020-09-28,99.40840119827773,forecast,2020-09-23
Maryland,2020-09-28,98.3859728453052,forecast,2020-10-04
Massachusetts,2020-09-28,98.46714475847787,forecast,2020-10-03
Michigan,2020-09-28,97.9606050005096,forecast,2020-10-06
Minnesota,2020-09-28,99.00695097756032,forecast,2020-09-28
Mississippi,2020-09-28,94.83046756506641,forecast,2020-10-17
Missouri,2020-09-28,98.67687733252677,forecast,2020-10-02
Montana,2020-09-28,94.53256306611112,forecast,2020-10-17
Nebraska,2020-09-28,98.3042049539508,forecast,2020-10-04
Nevada,2020-09-28,97.73524247689178,forecast,2020-10-07
New Hampshire,2020-09-28,98.60057749664861,forecast,2020-10-02
New Jersey,2020-09-28,98.0482853238843,forecast,2020-10-06
New Mexico,2020-09-28,95.6213652678852,forecast,2020-10-15
New York,2020-09-28,98.0011258020349,forecast,2020-10-06
North Carolina,2020-09-28,95.8350092602038,forecast,2020-10-14
North Dakota,2020-09-28,98.39305021133396,forecast,2020-10-04
Ohio,2020-09-28,98.51293570324027,forecast,2020-10-03
Oklahoma,2020-09-28,96.95192878374276,forecast,2020-10-11
Oregon,2020-09-28,98.83897018401042,forecast,2020-09-30
Pennsylvania,2020-09-28,98.34339452704931,forecast,2020-10-04
Rhode Island,2020-09-28,98.34339452704931,forecast,2020-10-04
South Carolina,2020-09-28,94.8865583608403,forecast,2020-10-17
South Dakota,2020-09-28,97.22793116548121,forecast,2020-10-10
Tennessee,2020-09-28,98.17519469084145,forecast,2020-10-05
Texas,2020-09-28,97.78659031270217,forecast,2020-10-07
Utah,2020-09-28,98.68416880964462,forecast,2020-10-01
Vermont,2020-09-28,99.2142097161738,forecast,2020-09-26
Virginia,2020-09-28,97.90976609823718,forecast,2020-10-06
Washington,2020-09-28,99.32404759151518,forecast,2020-09-24
West Virginia,2020-09-28,99.92422383200639,forecast,2020-09-12
Wisconsin,2020-09-28,99.24711134914529,forecast,2020-09-25
Wyoming,2020-09-28,96.85214702063158,forecast,2020-10-11
Puerto Rico,2020-09-28,98.89862143980093,forecast,2020-09-30
U.S. Total,2020-09-29,97.97422882268036,forecast,2020-10-07
Alabama,2020-09-29,94.22915053330506,forecast,2020-10-19
Alaska,2020-09-29,98.64412834391872,forecast,2020-10-03
Arizona,2020-09-29,96.23822148586687,forecast,2020-10-14
Arkansas,2020-09-29,99.17274384132683,forecast,2020-09-27
California,2020-09-29,98.72083589986164,forecast,2020-10-02
Colorado,2020-09-29,97.84789219406423,forecast,2020-10-08
Connecticut,2020-09-29,99.24000870076384,forecast,2020-09-27
Delaware,2020-09-29,97.38779940431353,forecast,2020-10-10
District of Columbia,2020-09-29,97.38497101541256,forecast,2020-10-10
Florida,2020-09-29,96.52633719862472,forecast,2020-10-13
Georgia,2020-09-29,95.4195344966412,forecast,2020-10-16
Hawaii,2020-09-29,99.7164687098149,forecast,2020-09-17
Idaho,2020-09-29,99.92741803398539,forecast,2020-09-11
Illinois,2020-09-29,98.71752079077235,forecast,2020-10-02
Indiana,2020-09-29,99.3874884089063,forecast,2020-09-24
Iowa,2020-09-29,97.25936764993563,forecast,2020-10-10
Kansas,2020-09-29,99.35070710709192,forecast,2020-09-25
Kentucky,2020-09-29,97.03108201453317,forecast,2020-10-11
Louisiana,2020-09-29,95.03420901675625,forecast,2020-10-17
Maine,2020-09-29,99.46089240194438,forecast,2020-09-23
Maryland,2020-09-29,98.52819578975787,forecast,2020-10-04
Massachusetts,2020-09-29,98.60232019405123,forecast,2020-10-03
Michigan,2020-09-29,98.13946618837603,forecast,2020-10-06
Minnesota,2020-09-29,99.09488953664138,forecast,2020-09-28
Mississippi,2020-09-29,95.25576766208906,forecast,2020-10-17
Missouri,2020-09-29,98.79377098490052,forecast,2020-10-02
Montana,2020-09-29,94.97861061837453,forecast,2020-10-17
Nebraska,2020-09-29,98.45351012544029,forecast,2020-10-04
Nevada,2020-09-29,97.93329032832025,forecast,2020-10-07
New Hampshire,2020-09-29,98.72413352046644,forecast,2020-10-02
New Jersey,2020-09-29,98.21963753945738,forecast,2020-10-06
New Mexico,2020-09-29,95.98907805538455,forecast,2020-10-15
New York,2020-09-29,98.17651973382624,forecast,2020-10-06
North Carolina,2020-09-29,96.18656468467428,forecast,2020-10-14
North Dakota,2020-09-29,98.53465934341675,forecast,2020-10-04
Ohio,2020-09-29,98.64412834391872,forecast,2020-10-03
Oklahoma,2020-09-29,97.21521050168103,forecast,2020-10-11
Oregon,2020-09-29,98.94167000650891,forecast,2020-09-30
Pennsylvania,2020-09-29,98.48930752353947,forecast,2020-10-04
Rhode Island,2020-09-29,98.48930752353947,forecast,2020-10-04
South Carolina,2020-09-29,95.30789323485648,forecast,2020-10-17
South Dakota,2020-09-29,97.46850624906254,forecast,2020-10-10
Tennessee,2020-09-29,98.33563726569352,forecast,2020-10-05
Texas,2020-09-29,97.98028145985111,forecast,2020-10-07
Utah,2020-09-29,98.80042512529997,forecast,2020-10-01
Vermont,2020-09-29,99.28387362826543,forecast,2020-09-26
Virginia,2020-09-29,98.09297009648438,forecast,2020-10-06
Washington,2020-09-29,99.38400352515113,forecast,2020-09-24
West Virginia,2020-09-29,99.93095442854353,forecast,2020-09-12
Wisconsin,2020-09-29,99.31386878946995,forecast,2020-09-25
Wyoming,2020-09-29,97.12355687253985,forecast,2020-10-11
Puerto Rico,2020-09-29,98.99608509820658,forecast,2020-09-30
U.S. Total,2020-09-30,98.15192483028287,forecast,2020-10-07
Alabama,2020-09-30,94.69578245083774,forecast,2020-10-19
Alaska,2020-09-30,98.76388313477257,forecast,2020-10-03
Arizona,2020-09-30,96.55862266648501,forecast,2020-10-14
Arkansas,2020-09-30,99.24606879083008,forecast,2020-09-27
California,2020-09-30,98.83388551254849,forecast,2020-10-02
Colorado,2020-09-30,98.03637038739441,forecast,2020-10-08
Connecticut,2020-09-30,99.30739369103891,forecast,2020-09-27
Delaware,2020-09-30,97.61507875203476,forecast,2020-10-10
District of Columbia,2020-09-30,97.6124864686962,forecast,2020-10-10
Florida,2020-09-30,96.82397129234701,forecast,2020-10-13
Georgia,2020-09-30,95.80228089825616,forecast,2020-10-16
Hawaii,2020-09-30,99.74164673817627,forecast,2020-09-17
Idaho,2020-09-30,99.93386492431624,forecast,2020-09-11
Illinois,2020-09-30,98.83086043949766,forecast,2020-10-02
Indiana,2020-09-30,99.441830935322,forecast,2020-09-24
Iowa,2020-09-30,97.4973363350455,forecast,2020-10-10
Kansas,2020-09-30,99.40830465640217,forecast,2020-09-25
Kentucky,2020-09-30,97.28788492808604,forecast,2020-10-11
Louisiana,2020-09-30,95.44501790144518,forecast,2020-10-17
Maine,2020-09-30,99.5087349417015,forecast,2020-09-23
Maryland,2020-09-30,98.65806003153604,forecast,2020-10-04
Massachusetts,2020-09-30,98.72572419132253,forecast,2020-10-03
Michigan,2020-09-30,98.3029849087295,forecast,2020-10-06
Minnesota,2020-09-30,99.17508191754247,forecast,2020-09-28
Mississippi,2020-09-30,95.65054452595224,forecast,2020-10-17
Missouri,2020-09-30,98.90043395345829,forecast,2020-10-02
Montana,2020-09-30,95.39339804491735,forecast,2020-10-17
Nebraska,2020-09-30,98.58987049053081,forecast,2020-10-04
Nevada,2020-09-30,98.11448584178372,forecast,2020-10-07
New Hampshire,2020-09-30,98.83689460475786,forecast,2020-10-02
New Jersey,2020-09-30,98.37624859824773,forecast,2020-10-06
New Mexico,2020-09-30,96.32882954198062,forecast,2020-10-15
New York,2020-09-30,98.33684815482997,forecast,2020-10-06
North Carolina,2020-09-30,96.51100408422535,forecast,2020-10-14
North Dakota,2020-09-30,98.66396076429996,forecast,2020-10-04
Ohio,2020-09-30,98.76388313477257,forecast,2020-10-03
Oklahoma,2020-09-30,97.45683911322003,forecast,2020-10-11
Oregon,2020-09-30,99.03535092229168,forecast,2020-09-30
Pennsylvania,2020-09-30,98.62255592009858,forecast,2020-10-04
Rhode Island,2020-09-30,98.62255592009858,forecast,2020-10-04
South Carolina,2020-09-30,95.69885739519259,forecast,2020-10-17
South Dakota,2020-09-30,97.68903543085953,forecast,2020-10-10
Tennessee,2020-09-30,98.48222203787203,forecast,2020-10-05
Texas,2020-09-30,98.15745962740381,forecast,2020-10-07
Utah,2020-09-30,98.9065048928257,forecast,2020-10-01
Vermont,2020-09-30,99.34738198231884,forecast,2020-09-26
Virginia,2020-09-30,98.26048645898294,forecast,2020-10-06
Washington,2020-09-30,99.43865451165986,forecast,2020-09-24
West Virginia,2020-09-30,99.93708721800407,forecast,2020-09-12
Wisconsin,2020-09-30,99.3747249661786,forecast,2020-09-25
Wyoming,2020-09-30,97.37275655902317,forecast,2020-10-11
Puerto Rico,2020-09-30,99.08497994859627,forecast,2020-09-30
U.S. Total,2020-10-01,98.31437130728155,forecast,2020-10-07
Alabama,2020-10-01,95.13052799196261,forecast,2020-10-19
Alaska,2020-10-01,98.87316455120191,forecast,2020-10-03
Arizona,2020-10-01,96.853680325328,forecast,2020-10-14
Arkansas,2020-10-01,99.31291834962533,forecast,2020-09-27
California,2020-10-01,98.93703136180216,forecast,2020-10-02
Colorado,2020-10-01,98.2087443926881,forecast,2020-10-08
Connecticut,2020-10-01,99.36882248401983,forecast,2020-09-27
Delaware,2020-10-01,97.82328622642197,forecast,2020-10-10
District of Columbia,2020-10-01,97.82091254981576,forecast,2020-10-10
Florida,2020-10-01,97.09766827941492,forecast,2020-10-13
Georgia,2020-10-01,96.15632751019844,forecast,2020-10-16
Hawaii,2020-10-01,99.764589884909455,forecast,2020-09-17
Idaho,2020-10-01,99.9397392038663,forecast,2020-09-11
Illinois,2020-10-01,98.93427162472041,forecast,2020-10-02
Indiana,2020-10-01,99.49136186821353,forecast,2020-09-24
Iowa,2020-10-01,97.71544820738495,forecast,2020-10-10
Kansas,2020-10-01,99.46080440750715,forecast,2020-09-25
Kentucky,2020-10-01,97.52348579363404,forecast,2020-10-11
Louisiana,2020-10-01,95.82587866323992,forecast,2020-10-17
Maine,2020-10-01,99.55233837877537,forecast,2020-09-23
Maryland,2020-10-01,98.77659795227726,forecast,2020-10-04
Massachusetts,2020-10-01,98.83834609040689,forecast,2020-10-03
Michigan,2020-10-01,98.45239561954413,forecast,2020-10-06
Minnesota,2020-10-01,99.24820049805591,forecast,2020-09-28
Mississippi,2020-10-01,96.01606521414465,forecast,2020-10-17
Missouri,2020-10-01,98.99773840923748,forecast,2020-10-02
Montana,2020-10-01,95.77807461925539,forecast,2020-10-17
Nebraska,2020-10-01,98.71436040496094,forecast,2020-10-04
Nevada,2020-10-01,98.28015311354056,forecast,2020-10-07
New Hampshire,2020-10-01,98.93977650267585,forecast,2020-10-02
New Jersey,2020-10-01,98.51931470734547,forecast,2020-10-06
New Mexico,2020-10-01,96.64211504675788,forecast,2020-10-15
New York,2020-10-01,98.48332807490226,forecast,2020-10-06
North Carolina,2020-10-01,96.80986003629839,forecast,2020-10-14
North Dakota,2020-10-01,98.7819831565468,forecast,2020-10-04
Ohio,2020-10-01,98.87316455120191,forecast,2020-10-03
Oklahoma,2020-10-01,97.67834565307525,forecast,2020-10-11
Oregon,2020-10-01,99.12078914735966,forecast,2020-09-30
Pennsylvania,2020-10-01,98.74419413172174,forecast,2020-10-04
Rhode Island,2020-10-01,98.74419413172174,forecast,2020-10-04
South Carolina,2020-10-01,96.06073831775117,forecast,2020-10-17
South Dakota,2020-10-01,97.89099602692538,forecast,2020-10-10
Tennessee,2020-10-01,98.61608664228743,forecast,2020-10-05
Texas,2020-10-01,98.31942961226562,forecast,2020-10-07
Utah,2020-10-01,99.00327606350805,forecast,2020-10-01
Vermont,2020-10-01,99.40527372444849,forecast,2020-09-26
Virginia,2020-10-01,98.41357096995243,forecast,2020-10-06
Washington,2020-10-01,99.48846676821175,forecast,2020-09-24
West Virginia,2020-10-01,99.9426752927127,forecast,2020-09-12
Wisconsin,2020-10-01,99.43019717271083,forecast,2020-09-25
Wyoming,2020-10-01,97.60129128137727,forecast,2020-10-11
Puerto Rico,2020-10-01,99.166045817248,forecast,2020-09-30
U.S. Total,2020-10-02,98.46279688956473,forecast,2020-10-07
Alabama,2020-10-02,95.53440196715744,forecast,2020-10-19
Alaska,2020-10-02,98.97286359981123,forecast,2020-10-03
Arizona,2020-10-02,97.12496561054898,forecast,2020-10-14
Arkansas,2020-10-02,99.37385858010903,forecast,2020-09-27
California,2020-10-02,99.03112003720186,forecast,2020-10-02
Colorado,2020-10-02,98.36629508925914,forecast,2020-10-08
Connecticut,2020-10-02,99.42481705740184,forecast,2020-09-27
Delaware,2020-10-02,98.01385835752471,forecast,2020-10-10
District of Columbia,2020-10-02,98.01168657129887,forecast,2020-10-10
Florida,2020-10-02,97.34900016071691,forecast,2020-10-13
Georgia,2020-10-02,96.48312437250819,forecast,2020-10-16
Hawaii,2020-10-02,99.78549628979339,forecast,2020-09-17
Idaho,2020-10-02,99.94509172779156,forecast,2020-09-11
Illinois,2020-10-02,99.02860287698198,forecast,2020-10-02
Indiana,2020-10-02,99.53650487450392,forecast,2020-09-24
Iowa,2020-10-02,97.9151731187459,forecast,2020-10-10
Kansas,2020-10-02,99.50865474222788,forecast,2020-09-25
Kentucky,2020-10-02,97.73940241911087,forecast,2020-10-11
Louisiana,2020-10-02,96.17812966024437,forecast,2020-10-17
Maine,2020-10-02,99.5920767079313,forecast,2020-09-23
Maryland,2020-10-02,98.88476564970902,forecast,2020-10-04
Massachusetts,2020-10-02,98.94110066093174,forecast,2020-10-03
Michigan,2020-10-02,98.58885282158845,forecast,2020-10-06
Minnesota,2020-10-02,99.31486170182605,forecast,2020-09-28
Mississippi,2020-10-02,96.35373619502147,forecast,2020-10-17
Missouri,2020-10-02,99.08648776631763,forecast,2020-10-02
Montana,2020-10-02,96.13396003716997,forecast,2020-10-17
Nebraska,2020-10-02,98.82797653203642,forecast,2020-10-04
Nevada,2020-10-02,98.43153813834995,forecast,2020-10-07
New Hampshire,2020-10-02,99.03362387119424,forecast,2020-10-02
New Jersey,2020-10-02,98.64995211900865,forecast,2020-10-06
New Mexico,2020-10-02,96.93048689939502,forecast,2020-10-15
New York,2020-10-02,98.61709649787436,forecast,2020-10-06
North Carolina,2020-10-02,97.08470114538031,forecast,2020-10-14
North Dakota,2020-10-02,98.88967905583385,forecast,2020-10-04
Ohio,2020-10-02,98.97286359981123,forecast,2020-10-03
Oklahoma,2020-10-02,97.8812103799343,forecast,2020-10-11
Oregon,2020-10-02,99.19869790956194,forecast,2020-09-30
Pennsylvania,2020-10-02,98.85519951573288,forecast,2020-10-04
Rhode Island,2020-10-02,98.85519951573288,forecast,2020-10-04
South Carolina,2020-10-02,96.3949569829139,forecast,2020-10-17
South Dakota,2020-10-02,98.07580132395691,forecast,2020-10-10
Tennessee,2020-10-02,98.73828946703081,forecast,2020-10-05
Texas,2020-10-02,98.46741744933236,forecast,2020-10-07
Utah,2020-10-02,99.09153806818523,forecast,2020-10-01
Vermont,2020-10-02,99.45804181776082,forecast,2020-09-26
Virginia,2020-10-02,98.55339963974033,forecast,2020-10-06
Washington,2020-10-02,99.53386630858127,forecast,2020-09-24
West Virginia,2020-10-02,99.94776703086454,forecast,2020-09-12
Wisconsin,2020-10-02,99.48075841791696,forecast,2020-09-25
Wyoming,2020-10-02,97.81066117144027,forecast,2020-10-11
Puerto Rico,2020-10-02,99.23996192321795,forecast,2020-09-30
U.S. Total,2020-10-03,98.59835022979571,forecast,2020-10-07
Alabama,2020-10-03,95.9086200726531,forecast,2020-10-19
Alaska,2020-10-03,99.06380149567147,forecast,2020-10-03
Arizona,2020-10-03,97.37404919204376,forecast,2020-10-14
Arkansas,2020-10-03,99.42940746363617,forecast,2020-09-27
California,2020-10-03,99.11693083080283,forecast,2020-10-02
Colorado,2020-10-03,98.51022399004164,forecast,2020-10-08
Connecticut,2020-10-03,99.47585473518471,forecast,2020-09-27
Delaware,2020-10-03,98.18816174352932,forecast,2020-10-10
District of Columbia,2020-10-03,98.1861760066323,forecast,2020-10-10
Florida,2020-10-03,97.57951563112844,forecast,2020-10-13
Georgia,2020-10-03,96.78419908893605,forecast,2020-10-16
Hawaii,2020-10-03,99.80454658325412,forecast,2020-09-17
Idaho,2020-10-03,99.94996883562305,forecast,2020-09-11
Illinois,2020-10-03,99.11463531644814,forecast,2020-10-02
Indiana,2020-10-03,99.57764689027277,forecast,2020-09-24
Iowa,2020-10-03,98.09791562605788,forecast,2020-10-10
Kansas,2020-10-03,99.55226528699455,forecast,2020-09-25
Kentucky,2020-10-03,97.93709764901612,forecast,2020-10-11
Louisiana,2020-10-03,96.50322717169564,forecast,2020-10-17
Maine,2020-10-03,99.62829132012241,forecast,2020-09-23
Maryland,2020-10-03,98.9834461411591,forecast,2020-10-04
Massachusetts,2020-10-03,99.0348316269713,forecast,2020-10-03
Michigan,2020-10-03,98.71343148611487,forecast,2020-10-06
Minnesota,2020-10-03,99.37563006754766,forecast,2020-09-28
Mississippi,2020-10-03,96.66505853587745,forecast,2020-10-17
Missouri,2020-10-03,99.16742073668267,forecast,2020-10-02
Montana,2020-10-03,96.4624977861915,forecast,2020-10-17
Nebraska,2020-10-03,98.93164065520548,forecast,2020-10-04
Nevada,2020-10-03,98.56980703533063,forecast,2020-10-07
New Hampshire,2020-10-03,99.11921418246656,forecast,2020-10-02
New Jersey,2020-10-03,98.76919828040211,forecast,2020-10-06
New Mexico,2020-10-03,97.19551896672564,forecast,2020-10-15
New York,2020-10-03,98.73921119248783,forecast,2020-10-06
North Carolina,2020-10-03,97.33709994302309,forecast,2020-10-14
North Dakota,2020-10-03,98.98792808511956,forecast,2020-10-04
Ohio,2020-10-03,99.06380149567147,forecast,2020-10-03
Oklahoma,2020-10-03,98.0668500496583,forecast,2020-10-11
Oregon,2020-10-03,99.26973162904396,forecast,2020-09-30
Pennsylvania,2020-10-03,98.95647538017764,forecast,2020-10-04
Rhode Island,2020-10-03,98.95647538017764,forecast,2020-10-04
South Carolina,2020-10-03,96.70302352160239,forecast,2020-10-17
South Dakota,2020-10-03,98.24479220607046,forecast,2020-10-10
Tennessee,2020-10-03,98.84981171095417,forecast,2020-10-05
Texas,2020-10-03,98.6025691818399,forecast,2020-10-07
Utah,2020-10-03,99.1720258829385,forecast,2020-10-01
Vermont,2020-10-03,99.50613687226505,forecast,2020-09-26
Virginia,2020-10-03,98.68106867883547,forecast,2020-10-06
Washington,2020-10-03,99.57524222258832,forecast,2020-09-24
West Virginia,2020-10-03,99.95240651483144,forecast,2020-09-12
Wisconsin,2020-10-03,99.52684095884703,forecast,2020-09-25
Wyoming,2020-10-03,98.00230689583232,forecast,2020-10-11
Puerto Rico,2020-10-03,99.30735104628626,forecast,2020-09-30
U.S. Total,2020-10-04,98.72210054233219,forecast,2020-10-07
Alabama,2020-10-04,96.25455152883116,forecast,2020-10-19
Alaska,2020-10-04,99.146733662371,forecast,2020-10-03
Arizona,2020-10-04,97.60247607458739,forecast,2020-10-14
Arkansas,2020-10-04,99.48003864270972,forecast,2020-09-27
California,2020-10-04,99.19517984976298,forecast,2020-10-02
Colorado,2020-10-04,98.64165262927582,forecast,2020-10-08
Connecticut,2020-10-04,99.52237174201515,forecast,2020-09-27
Delaware,2020-10-04,98.34748697790921,forecast,2020-10-10
District of Columbia,2020-10-04,98.34567237833603,forecast,2020-10-10
Florida,2020-10-04,97.79072001194533,forecast,2020-10-13
Georgia,2020-10-04,97.06111844269242,forecast,2020-10-16
Hawaii,2020-10-04,99.82190541969177,forecast,2020-09-17
Idaho,2020-10-04,99.95441275199204,forecast,2020-09-11
Illinois,2020-10-04,99.1930867618053,forecast,2020-10-02
Indiana,2020-10-04,99.61514116551491,forecast,2020-09-24
Iowa,2020-10-04,98.26500708472905,forecast,2020-10-10
Kansas,2020-10-04,99.5920100963798,forecast,2020-09-25
Kentucky,2020-10-04,98.1179679291585,forecast,2020-10-11
Louisiana,2020-10-04,96.80270241458018,forecast,2020-10-17
Maine,2020-10-04,99.66129374935282,forecast,2020-09-23
Maryland,2020-10-04,99.07345308697812,forecast,2020-10-04
Massachusetts,2020-10-04,99.1203155823037,forecast,2020-10-03
Michigan,2020-10-04,98.82712887338315,forecast,2020-10-06
Minnesota,2020-10-04,99.4310221698784,forecast,2020-09-28
Mississippi,2020-10-04,96.95158739603811,forecast,2020-10-17
Missouri,2020-10-04,99.24121549950843,forecast,2020-10-02
Montana,2020-10-04,96.76521161864366,forecast,2020-10-17
Nebraska,2020-10-04,99.02620315361222,forecast,2020-10-04
Nevada,2020-10-04,98.69604623507044,forecast,2020-10-07
New Hampshire,2020-10-04,99.19726184006298,forecast,2020-10-02
New Jersey,2020-10-04,98.87801417040637,forecast,2020-10-06
New Mexico,2020-10-04,97.43877712969986,forecast,2020-10-15
New York,2020-10-04,98.85065275859066,forecast,2020-10-06
North Carolina,2020-10-04,97.56860678993162,forecast,2020-10-14
North Dakota,2020-10-04,99.0775406969283,forecast,2020-10-04
Ohio,2020-10-04,99.146733662371,forecast,2020-10-03
Oklahoma,2020-10-04,98.23660935138943,forecast,2020-10-11
Oregon,2020-10-04,99.33449005844602,forecast,2020-09-30
Pennsylvania,2020-10-04,99.04885458507914,forecast,2020-10-04
Rhode Island,2020-10-04,99.04885458507914,forecast,2020-10-04
South Carolina,2020-10-04,96.98649735868412,forecast,2020-10-17
South Dakota,2020-10-04,98.39923217074882,forecast,2020-10-10
Tennessee,2020-10-04,98.95156035453957,forecast,2020-10-05
Texas,2020-10-04,98.72595145777301,forecast,2020-10-07
Utah,2020-10-04,99.2454142011588,forecast,2020-10-01
Vermont,2020-10-04,99.54997056106876,forecast,2020-09-26
Virginia,2020-10-04,98.79759598587194,forecast,2020-10-06
Washington,2020-10-04,99.6129497343173,forecast,2020-09-24
West Virginia,2020-10-04,99.95663391241509,forecast,2020-09-12
Wisconsin,2020-10-04,99.56883961573922,forecast,2020-09-25
Wyoming,2020-10-04,98.1775996878198,forecast,2020-10-11
Puerto Rico,2020-10-04,99.36878361033929,forecast,2020-09-30
U.S. Total,2020-10-05,98.83503950658374,forecast,2020-10-07
Alabama,2020-10-05,96.57367331563417,forecast,2020-10-19
Alaska,2020-10-05,99.2223538839237,forecast,2020-10-03
Arizona,2020-10-05,97.81174610226432,forecast,2020-10-14
Arkansas,2020-10-05,99.52618495695332,forecast,2020-09-27
California,2020-10-05,99.26652419643399,forecast,2020-10-02
Colorado,2020-10-05,98.76162361865006,forecast,2020-10-08
