state,as_of_date,enumerated,type,finished
Michigan,2020-08-22,76,observation,2020-10-06
Minnesota,2020-08-22,82.6,observation,2020-09-28
Mississippi,2020-08-22,68.1,observation,2020-10-17
Missouri,2020-08-22,80.4,observation,2020-10-02
Montana,2020-08-22,67.2,observation,2020-10-17
Nebraska,2020-08-22,78.7,observation,2020-10-04
Nevada,2020-08-22,70.7,observation,2020-10-07
New Hampshire,2020-08-22,73.1,observation,2020-10-02
New Jersey,2020-08-22,74.9,observation,2020-10-06
New Mexico,2020-08-22,63.5,observation,2020-10-15
New York,2020-08-22,71.1,observation,2020-10-06
North Carolina,2020-08-22,67.9,observation,2020-10-14
North Dakota,2020-08-22,78.8,observation,2020-10-04
Ohio,2020-08-22,78.9,observation,2020-10-03
Oklahoma,2020-08-22,72.7,observation,2020-10-11
Oregon,2020-08-22,83.2,observation,2020-09-30
Pennsylvania,2020-08-22,79.5,observation,2020-10-04
Rhode Island,2020-08-22,73.6,observation,2020-10-04
South Carolina,2020-08-22,67,observation,2020-10-17
South Dakota,2020-08-22,73.8,observation,2020-10-10
Tennessee,2020-08-22,75.3,observation,2020-10-05
Texas,2020-08-22,70.8,observation,2020-10-07
Utah,2020-08-22,78.9,observation,2020-10-01
Vermont,2020-08-22,71.5,observation,2020-09-26
Virginia,2020-08-22,78.4,observation,2020-10-06
Washington,2020-08-22,86.7,observation,2020-09-24
West Virginia,2020-08-22,87.2,observation,2020-09-12
Wisconsin,2020-08-22,83.2,observation,2020-09-25
Wyoming,2020-08-22,70.6,observation,2020-10-11
Puerto Rico,2020-08-22,60.5,observation,2020-09-30
U.S. Total,2020-08-23,76.5,observation,2020-10-07
Alabama,2020-08-23,69.1,observation,2020-10-19
Alaska,2020-08-23,78.8,observation,2020-10-03
Arizona,2020-08-23,68.1,observation,2020-10-14
Arkansas,2020-08-23,75.4,observation,2020-09-27
California,2020-08-23,80.2,observation,2020-10-02
Colorado,2020-08-23,79,observation,2020-10-08
Connecticut,2020-08-23,85.4,observation,2020-09-27
Delaware,2020-08-23,73.1,observation,2020-10-10
District of Columbia,2020-08-23,73.8,observation,2020-10-10
Florida,2020-08-23,69.4,observation,2020-10-13
Georgia,2020-08-23,67.9,observation,2020-10-16
Hawaii,2020-08-23,83.8,observation,2020-09-17
Idaho,2020-08-23,93.9,observation,2020-09-11
Illinois,2020-08-23,84.1,observation,2020-10-02
Indiana,2020-08-23,84.5,observation,2020-09-24
Iowa,2020-08-23,73.6,observation,2020-10-10
Kansas,2020-08-23,86.5,observation,2020-09-25
Kentucky,2020-08-23,75.6,observation,2020-10-11
Louisiana,2020-08-23,71.4,observation,2020-10-17
Maine,2020-08-23,84.8,observation,2020-09-23
Maryland,2020-08-23,82.6,observation,2020-10-04
